variables ="eta","T"
zone t="line"
i=27,f=point
0.36363636363634555, -0.04052774263509895
1.5757575757575637, -0.07860232544129175
2.666666666666657, -0.08805831676607023
4.484848484848484, -0.06405687089583711
8.969696969696955, 0.022184468943911906
11.75757575757575, 0.04626302789324632
16.84848484848483, 0.06575335863606213
20.242424242424235, 0.05648051087414929
22.424242424242422, 0.06142538707151024
24.606060606060595, 0.11885535273209213
25.939393939393938, 0.20007470329537913
27.272727272727266, 0.32423639978311947
28.12121212121211, 0.3911030784987046
29.939393939393938, 0.5439315621422975
31.272727272727266, 0.42952467016085283
31.999999999999986, 0.3150695825049701
32.121212121212125, 0.21010904271341624
32.606060606060595, 0.09563467678775806
33.09090909090908, -0.0951816374480392
33.33333333333333, -0.22876076872100737
33.81818181818181, -0.34323513464666555
34.3030303030303, -0.44816675703355635
35.27272727272725, -0.44808964395445505
35.636363636363626, -0.343090547623351
36.36363636363636, -0.19989155973251438
36.96969696969697, -0.07578769805409968
37.45454545454545, -0.01849268028194473
