variables ="eta","T"
zone t="line"
i=27,f=point
0.6060606060605949, 0.0024338815591300467
4.484848484848484, -0.016343153202000416
7.878787878787875, -0.04947285981083227
10.787878787878782, -0.06832700765106337
14.424242424242408, -0.053723718296283085
19.515151515151516, -0.029462015784083473
22.666666666666657, -0.048296885354539576
25.818181818181813, -0.07190312669437926
28, 0.03801192842942336
29.212121212121204, 0.2051063317067292
29.69696969696969, 0.3053436954033373
29.939393939393938, 0.41033315259955394
30.424242424242422, 0.5487414904512319
31.03030303030303, 0.6967022109765647
31.5151515151515, 0.8494246641363936
32.36363636363636, 0.9640050605458159
32.848484848484844, 0.9926718477016686
33.45454545454545, 0.9450063256822698
33.81818181818181, 0.8686932947767937
34.3030303030303, 0.7255906982348332
34.66666666666667, 0.553850231941683
34.90909090909091, 0.4107283571299474
35.27272727272728, 0.2771588649918668
35.636363636363626, 0.12450388577625127
36.242424242424235, -0.009046328092053857
37.212121212121204, -0.04714018916802232
38.3030303030303, -0.008882462798963875
